"ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","X","Y"
"15447","8600000US15447","15447","1013164","0",-79.9369170070,39.9438373570
"19383","8600000US19383","19383","155200","0",-75.6016209370,39.9515972590
"18218","8600000US18218","18218","5634251","0",-75.9160984350,40.8197295910
"16213","8600000US16213","16213","372960","1092",-79.5576456580,41.1257581800
"15739","8600000US15739","15739","1646097","28850",-79.1679841180,40.6761138140
"18357","8600000US18357","18357","10319278","429543",-75.2184965760,41.2276868060
"29540","8600000US29540","29540","285976015","3405845",-79.8400811180,34.3851074740
"29378","8600000US29378","29378","225320","0",-81.9683132350,34.9673268990
"29080","8600000US29080","29080","342755133","353564",-80.0853881620,34.0112142080
"02817","8600000US02817","02817","130115051","2601551",-71.6674960620,41.6290614810
"29628","8600000US29628","29628","129637092","20953337",-82.5646891780,34.0908346860
"37870","8600000US37870","37870","216007143","8975567",-83.8352134100,36.4633866510
"38505","8600000US38505","38505","344150","0",-85.5051259620,36.1750591740
"38329","8600000US38329","38329","280566788","6990303",-88.1105922640,35.5440790600
"37377","8600000US37377","37377","193252672","168911",-85.3352625120,35.2088424100
"38344","8600000US38344","38344","414405006","4231657",-88.4284666950,35.9782742280
"38080","8600000US38080","38080","364760319","28460076",-89.5271475450,36.2097341020
"38008","8600000US38008","38008","383968618","975943",-88.9949909240,35.2468221730
"37137","8600000US37137","37137","218509306","230816",-87.5011650430,35.8760116010
"78834","8600000US78834","78834","1441878484","5771382",-99.9214064210,28.4643039900
"78114","8600000US78114","78114","950249465","4874064",-98.2018020860,29.1182187760
"79738","8600000US79738","79738","833166626","2343552",-101.4755483800,32.7571174380
"79092","8600000US79092","79092","744661572","866539",-102.4686832300,35.2815009750
"75773","8600000US75773","75773","462010139","13119301",-95.4458891250,32.6787602060
"75650","8600000US75650","75650","321619142","6956716",-94.5547270690,32.5139534260
"78408","8600000US78408","78408","11505876","0",-97.4469053030,27.7950033570
"76033","8600000US76033","76033","424779727","11797602",-97.5113639430,32.2851256660
"75567","8600000US75567","75567","175475806","44059078",-94.3187872420,33.3140395330
"79083","8600000US79083","79083","820898163","594829",-101.5280415500,35.8843125900
"76661","8600000US76661","76661","415741800","6664432",-96.8493180050,31.3186324380
"78757","8600000US78757","78757","12732626","0",-97.7325218720,30.3515842690
"79549","8600000US79549","79549","-2147483648","3000974",-100.8450595400,32.9136803840
"77801","8600000US77801","77801","8316904","175945",-96.3634411600,30.6389178320
"75941","8600000US75941","75941","219675511","3627055",-94.7636848490,31.1799172410
"78352","8600000US78352","78352","4071783","0",-97.6790097510,27.9629050210
"76821","8600000US76821","76821","789962915","11241160",-99.9362670070,31.7386994810
"76483","8600000US76483","76483","1646654219","5417172",-99.2722371030,33.1887777040
"77865","8600000US77865","77865","364880944","1227701",-96.2281033970,31.2303410160
"79057","8600000US79057","79057","996762237","2470627",-100.6426081800,35.2430350980
"84321","8600000US84321","84321","498755372","2372491",-111.6854468300,41.8000701420
"05461","8600000US05461","05461","106394272","1037510",-73.0913058970,44.3221896140
"05901","8600000US05901","05901","92780272","4530288",-71.6822750470,44.9429335370
