"City","State","Zip","Country","County","FIPS","x","y"
"Lexington","KY","40502","US","Fayette","","-84.56785410441674","37.98416354381113"
"Pittsburgh","PA","15215","US","Allegheny","","-79.9138052450","40.5048068150"
"Lexington","KY","40503","US","Fayette","","-84.61541699323335","38.04238313899502"
"Lexington","KY","40515","US","Fayette","","-84.44765923792747","37.83719179596906"
"Lexington","KY","40511","US","Fayette","","-84.4780631940","38.1336728040"
"Louisville","KY","40213","US","Jefferson","","-85.7194232160","38.1757978140"
"Lexington","KY","40502","US","Fayette","","-84.42627474325475","37.96859156078541"
"Sacramento","CA","95835","US","Sacramento","","-121.5257900700","38.6707531590"
"Lexington","KY","40513","US","Fayette","","-84.63590864460669","37.94583620873149"
"Modesto","CA","95355","US","Stanislaus","","-120.9469752100","37.6728505340"
"Morehead","KY","40351","US","Rowan","","-83.4164012800","38.2054816390"
"Kentwood","MI","49508","US","Kent","","-85.6252675880","42.8735227980"
"Boston","MA","02122","US","Suffolk","","-71.0335481560","42.3000697250"
"Midway","KY","40347","US","Woodford","","-84.7155982610","38.1584303720"
"McKee","KY","40447","US","Jackson","","-84.0286257760","37.4570747610"
"Hamden","CT","06514","US","New Haven","","-72.9411409070","41.3734702170"
"Lexington","KY","40502","US","Fayette","","-84.4909859764021","37.935952196621855"
"Raleigh","NC","27604","US","Wake","","-78.5588233660","35.8186415470"
"Richmond","KY","40475","US","Madison","","-84.29329669032767","37.74754681150716"
"Mount Pleasant","SC","29464","US","Charleston","","-79.8563627600","32.8203761480"
"Lexington","KY","40504","US","Fayette","","-84.46927500449645","37.957446045488425"
"Pineville","LA","71360","US","Rapides","","-92.3528062710","31.3201748830"
"Paris","KY","40361","US","Bourbon","","-84.2272965090","38.2059800260"
"Temple City","CA","91780","US","Los Angeles","","-118.0554839300","34.1014487550"
"Huntington","NY","11743","US","Suffolk","","-73.4267878480","40.8812362040"
"Lexington","KY","40503","US","Fayette","","-84.48927551421158","38.044539357996456"
"Woodbury","MN","55125","US","Washington","","-92.9439376060","44.9198509330"
