"SOV_A3","ADMIN","GU_A3","X","Y"
"MLT","Malta","MLT",14.4036687750,35.9211092650
"GB1","Jersey","JEY",-2.1274420904,49.2210569170
"GB1","Guernsey","GGY",-2.5300451809,49.4845428200
"GB1","Isle of Man","IMN",-4.5337106696,54.2290884550
"FI1","Aland","ALD",20.0562069810,60.1863718490
"DN1","Faroe Islands","FRO",-6.8703721412,62.0739986740
"AU1","Indian Ocean Territories","IOA",104.5983038300,-10.6962022100
"GB1","British Indian Ocean Territory","IOT",72.2971043230,-7.1392887397
"SGP","Singapore","SGP",103.8134723600,1.3589174536
"AU1","Norfolk Island","NFK",167.9551386500,-29.0349798320
"NZ1","Cook Islands","COK",-158.7937295700,-19.7940891730
"TON","Tonga","TON",-174.8681477900,-20.0656312530
"FR1","Wallis and Futuna","WLF",-177.0594812700,-13.7383742260
"WSM","Samoa","WSM",-172.1611851000,-13.7546291000
"SLB","Solomon Islands","SLB",159.6380063500,-8.9095284050
"TUV","Tuvalu","TUV",178.5171079600,-7.7599465200
"MDV","Maldives","MDV",73.2985565810,3.8335340389
"NRU","Nauru","NRU",166.9331321300,-0.5207829703
"FSM","Federated States of Micronesia","FSM",155.2415489100,6.9674218043
"GB1","South Georgia and the Islands","SGS",-35.8797676540,-54.6801877440
"GB1","Falkland Islands","FLK",-59.3764821490,-51.7333154650
"VUT","Vanuatu","VUT",167.7011632100,-16.2012363780
"NZ1","Niue","NIU",-169.8693594500,-19.0489357310
"US1","American Samoa","ASM",-170.3977431500,-14.2541080570
"PLW","Palau","PLW",134.3466561300,7.1958244939
"US1","Guam","GUM",144.7719494900,13.4438126330
"US1","Northern Mariana Islands","MNP",145.5998639100,16.2531237350
"BHR","Bahrain","BHR",50.5466352990,26.0527916710
"AU1","Coral Sea Islands","CSI",154.3903044500,-21.0292788210
"PGA","Spratly Islands","PGA",114.9226546600,10.5429140100
"FR1","Clipperton Island","CLP",-109.2212694500,10.2973890850
"CH1","Macao S.A.R","MAC",113.5502084100,22.1578529560
"AU1","Ashmore and Cartier Islands","ATC",123.5863678900,-12.4325773890
"BJN","Bajo Nuevo Bank (Petrel Is.)","BJN",-79.9878583910,15.7950078860
"SER","Serranilla Bank","SER",-78.6381081650,15.8644758250
"SCR","Scarborough Reef","SCR",117.7538111500,15.1521175630
